Name,Additional names,Twitter-Account,Organization,Specific addresses,URL,Language,Category,Subcategory,Country
20 Minuten,20min.ch,@20min,Tamedia (20 Minuten AG),,http://www.20min.ch/,DE,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
20 Minuten Basel,20min.ch,@20min,Tamedia (20 Minuten AG),,http://www.20min.ch/schweiz/basel/,DE,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
20 Minuten Bern,20min.ch,@20min,Tamedia (20 Minuten AG),,http://www.20min.ch/schweiz/bern/,DE,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
20 Minuten Friday,20 Minuten Friday,@20min_friday,Tamedia AG,,http://www.20min.ch/friday/,DE,Massenmediale Öffentlichkeit,Wochenmagazin,CH
20 Minuten Luzern,20min.ch,@20min,Tamedia (20 Minuten AG),,http://www.20min.ch/schweiz/zentralschweiz/,DE,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
20 Minuten St. Gallen,20min.ch,@20min,Tamedia (20 Minuten AG),,http://www.20min.ch/schweiz/ostschweiz/,DE,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
20 Minuten Zürich,20min.ch,@20min,Tamedia (20 Minuten AG),,http://www.20min.ch/schweiz/zuerich/,DE,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
20 minutes,20min.ch,@20minutesOnline,Tamedia (20 Minuten AG),,http://www.20min.ch/ro/,FR,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
20 minuti,"Ticinonline (tio), 20minuti",@Ticinonline,"
TicinOnline SA, 20 minuti Ticino SA (Tamedia AG)",,http://www.tio.ch/,IT,Massenmediale Öffentlichkeit,Newsportal / Kostenlose Pendlerzeitung,CH
24heures,24heures.ch,@24heuresch,Tamedia Publications romandes SA,,http://www.24heures.ch,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
"24Heures, éditions Lausanne","24Heures, éditions Lausanne",@24heuresch ,Tamedia Publications romandes SA,,http://www.24heures.ch/vaud-regions/lausanne-region/,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
3+,3plus,,3 Plus TV Network AG,,http://www.3plus.tv/,DE,Massenmediale Öffentlichkeit,TV-Station,CH
4+,4plus,,3 Plus TV Network AG,,http://www.4plus.tv/,DE,Massenmediale Öffentlichkeit,TV-Station,CH
5+,5plus,,3 Plus TV Network AG,,http://www.5plus.tv/,DE,Massenmediale Öffentlichkeit,TV-Station,CH
Aargauer Zeitung,Aargauer Zeitung,@AargauerZeitung,AZ Medien AG,,http://www.aargauerzeitung.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Aargauer Zeitung,Aargauer Zeitung Aarau,@AargauerZeitung,AZ Medien AG,,http://www.aargauerzeitung.ch/aargau/aarau,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Aargauer Zeitung,Aargauer Zeitung Baden,@AargauerZeitung,AZ Medien AG,,http://www.aargauerzeitung.ch/aargau/baden,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Aargauer Zeitung,Aargauer Zeitung Freiamt,@AargauerZeitung,AZ Medien AG,,http://www.aargauerzeitung.ch/aargau/freiamt,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Aargauer Zeitung,Aargauer Zeitung Fricktal,@AargauerZeitung,AZ Medien AG,,http://www.aargauerzeitung.ch/aargau/fricktal,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
AGEFI,AGEFI.COM,@Ageficom,L'AGEFI,,http://www.agefi.com,FR,Massenmediale Öffentlichkeit,Tageszeitung,CH
Allgemeiner Anzeiger für den Bezirk Zofingen,Allgemeiner Anzeiger f. d. Bezirk Zofingen,,Bisang AG,,,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Allschwiler Wochenblatt,Allschwiler Wochenblatt,,LV Lokalzeitungen Verlags AG,,http://www.allschwilerwochenblatt.ch/startseite.cfm,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Alttoggenburger,Toggenburger Volksblatt,@Alttoggenburger,E. Kalberer AG,,http://www.alttoggenburger.ch/,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Ämme Express,Ämme Express,,Druckerei Schüpfheim AG,,http://www.aemme-express.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtlicher Anzeiger Biel/Bienne Leubringen,Amtlicher Anzeiger Biel/Bienne Leubringen,,Publicitas AG,,http://www.bielerpresse.ch/_presse_213_1_1_3_1_1_process_editmode.html,"DE, FR",Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt der Stadt Chur,Amtsblatt der Stadt Chur,,Stadtverwaltung Chur,,http://www.chur.ch/de/politikundverwaltung/amtsblattderstadtchur/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Appenzell Ausserhoden,Amtsblatt des Kantons Appenzell A.Rh.,,Appenzeller Medienhaus AG,,http://www.ar.ch/aktuell/amtsblatt/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Baselland,Amtsblatt des Kantons Baselland,,Landeskanzlei Basel-Landschaft,,http://www.baselland.ch/Amtsblatt.273426.0.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Bern,Amtsblatt des Kantons Bern,,Staatskanzlei des Kantons Bern,,http://www.sta.be.ch/de/index/staatskanzlei/staatskanzlei/downloads_publikationen/amtsblatt.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Graubünden,Amtsblatt des Kantons Graubünden,,Südostschweiz Presse und Print AG (Somedia),,http://www.gr.ch/DE/publikationen/kantonsamtsblatt/Seiten/start.aspx,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Nidwalden,Amtsblatt des Kantons Nidwalden,,Staatskanzlei,,http://amtsblatt.unterwaldner.ch,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Obwalden,Amtsblatt des Kantons Obwalden,,Staatskanzlei,,http://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=2102,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Solothurn,Amtsblatt des Kantons Solothurn,,Staatskanzlei,,http://www.so.ch/staatskanzlei/publikationen/amtsblatt/index.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons St.Gallen,Amtsblatt des Kantons St.Gallen,,Ostschweiz Druck AG,,http://www.sg.ch/home/publikationen___services/publikationen/amtsblatt.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Uri,Amtsblatt des Kantons Uri,,Gisler Druck AG,,https://secure.i-web.ch/dweb/uri/de/aktuelles/amtsblatt/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt des Kantons Zürich,Amtsblatt des Kantons Zürich,,Zürich Unterland Medien AG,,https://www.amtsblatt.zh.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Amtsblatt Kanton Wallis,Bulletin officiel du Canton du Valais,,Staatskanzlei des Kantons Wallis,,http://www.bo-vs.ch/,"DE,FR",Massenmediale Öffentlichkeit,Wochenblatt,CH
Andelfinger Zeitung,Andelfinger Zeitung,,Akeret Verlag + Druck AG,,http://www.andelfinger.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Annabelle,,,,,,,Massenmediale Öffentlichkeit,Wochenmagazin,
