Name,Vorname / weitere Namen (optional),Twitter-Account,Organisation,URL,URL_Sprache,Category,Subcategory,Ort,Total verbreitete Auflage 2013,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,Letzte Aktualisierung am 18.07.2016
2110,Janosch Tröhler,---,---,http://www.2110.ch/blog/,DE,Fachöffentlichkeit online,Blog,,,ja,Journalismus-Blog von Janosch Tröhler (IAM-Journalismus-Student),
Academia Engelberg,,,,---,DE,Fachöffentlichkeit online,Stiftung,,,ja,Organisiert jährliche Konferenzen zum Wissenstransfer. Sozial- und naturwissenschaftliche Themen. Keine Projektförderung. Bündnerische Stiftung.,
Académie du journalisme et des médias ,AJM,---,Universität Neuenburg,---,F,Fachöffentlichkeit online,Hochschulinstitut,,,ja,Homepage nur auf Französisch verfügbar,
Agentur für Kommunikation und Medien,Maurice Velati,,,http://www.mvmedia.ch/,DE,Fachöffentlichkeit online,Persönliche Webseite (Maurice Velati),,,ja,Kommunikationsagentur mit medienkritischen News / Blogbeiträgen,
Aktion Medienfreiheit,,---,,http://www.medienfreiheit.ch,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,"Newsletter elektronisch nur als PDF verfügbar, aber Vorstösse als Text vorhanden. Newsletter wird von sani manuell gesammelt.",
Aktion Stop Billag,,,,http://stopbillag.ch/,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,Nur Referendumstext - keine weiteren Meldungen.,
Andimatrix,,,,https://andimatrix.wordpress.com/,DE,Fachöffentlichkeit online,Privater Medienblog,,,ja,"Autor schreibt anonym. Wurde von sani am 30.05.2016 angeschrieben, um mehr Details zu erfahren",
Appenzeller Medienhaus,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,wird über tagblattmedien.ch (Mutterhaus) gecrawlt,
Arbus,Arbeiter-Radio-Bund der Schweiz,@ArbusSchweiz,,www.arbus.ch,DE,Fachöffentlichkeit online,Verein (medienkritische Organisation),,,ja,"Print- und Online-Publikation ""Wellenbrecher"" erscheint 2x jährlich in gedruckter Form an die Mitglieder (online als PDF verfügbar) --> Mitteilungen über verschiedene Rubriken verteilt --> nur Hauptseite angeben und alles screenen.",
ARGUS,,@ArgusderPresse,Presse AG,https://www.argus.ch/de/blog/,DE,Fachöffentlichkeit online,Marktforschungsinstitut (Medienmonitoring),,,ja,Zusätzlich Newsletter zu News rund um das Unternehmen abonnierbar; keine spezifischen Meldungen zur Medienlandschaft,
Audiatur online,,,,http://www.audiatur-online.ch/category/medienundeinspruch/,DE,Fachöffentlichkeit online,Blog,,,ja,wird finanziert von der Audiatur-Stiftung,
Audiatur online,,,,http://www.audiatur-online.ch/,DE,Fachöffentlichkeit online,Branchenportal,,,ja,,
Axel Springer AG Schweiz,,---,,http://www.axelspringer.ch/news/news/,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,"News, die eigentlich Medienmitteilungen sind (siehe Topf 2)",
AZ Medien AG,,Innerhalb,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Geschäftsberichte nur als ePaper oder PDF erhältlich. Ansonsten nur Medienmitteilungen.,
