Name,Vorname / weitere Namen (optional),Twitter-Account,Abkürzungen,Organisation,URL (direkt zu Medienmitteilungen),URL Sprache,Category,Subcategory,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,
Académie du journalisme et des médias ,AJM,---,AJM,Universite de Neuchatel / Universität Neuenburg,---,F,Medienmitteilungen der Fachöffentlichkeit,Hochschulinstitut,ja,Homepage nur auf Französisch verfügbar,
Aktion Medienfreiheit,,---,,,http://www.medienfreiheit.ch/infos/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,Verein (medienkritische Organisation),ja,,
Appenzeller Medienhaus AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,"Medienhaus selbst hat keine eigene Homepage, sondern verweist nur auf die einzelnen Medien, die dazugehören.",
Arbus,Arbeiter-Radio-Bund der Schweiz,@ArbusSchweiz,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Verein (medienkritische Organisation),ja,"Magazin ""Wellenbrecher"" online nur als PDF verfügbar",
ARGUS,,@ArgusderPresse,,Presse AG,http://www.argus.ch/de/info/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,Kommerzielle Marktforschungsorganisation,ja,"MM mit Fliesstext angeteasert, aber komplette MM nur als PDF verfügbar",
Axel Springer AG Schweiz,,---,,,http://www.axelspringer.ch/news/news/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,"News, die MM sind.",
AZ Medien AG,,---,,AZ Medien AG,http://www.azmedien.ch/medienstelle/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,,
Basler Zeitung Medien AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,nur News-Meldungen (siehe Topf 1),
BNJ Media Holding SA,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage gefunden,
Bomag,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage gefunden,
BT Holding AG,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage gefunden,
Bundesamt für Kommunikation,BAKOM,---,BAKOM,UVEK,http://www.bakom.admin.ch/dokumentation/medieninformationen,DE,Medienmitteilungen der Fachöffentlichkeit,Medienpolitische Aufsichtsbehörde,ja,MM als Fliesstext verfügbar,
Bundesgericht,BGER,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Medienrechtliche Instanz / Aufsichtsbehörde,ja,Dokumente nur als PDF verfügbar,
Carl-Oechslin-Stiftung,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,Stiftungen,ja,keine eigene Homepage gefunden,
Center for Communications,,@fhhwz,,HWZ Hochschule für Wirtschaft Zürich,---,DE,Medienmitteilungen der Fachöffentlichkeit,Hochschulinstitut,ja,nur als PDF verfügbar,
Chefredaktorenkonferenz,Christian Dorer,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Branchenverband,ja,"Gemisch aus Medienmitteilungen, Stellungnahmen und Nachrichten. Inhalte werden über Topf 2 gecrawlt.",
Departement für Kommunikationswissenschaft und Medienforschung,DCM,---,,Universität Freiburg,http://www.unifr.ch/scm/de/im/,DE,Medienmitteilungen der Fachöffentlichkeit,Hochschulinstitut,ja,,
Departement Kunst und Medien,ZHdK,---,ZHdK,Zürcher Hochschule der Künste,https://www.zhdk.ch/index.php?id=newsroom,DE,Medienmitteilungen der Fachöffentlichkeit,Hochschulinstitut,ja,,
Dietschi AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,2014/15 von AZ Medien gekauft; Seite existiert nicht mehr.,
Eidgenössische Medienkommission,EMEK,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,(Medien-)politische Organisationen/Instanzen. Ausserparlamentarische Kommission.,ja,keine eigene Homepage. Meldungen werden über den BAKOM-Newsletter verschickt.,
Energy Holding AG,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage gefunden,
Espace Media AG,,@espacemedia,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Mitteilungen hören 2014 auf. Gehört jetzt Tamedia --> Verlinkung auf Tamedia-Homepage.,
Forschungsinstitut Öffentlichkeit und Gesellschaft,Assoziiertes Institut der Universität Zürich,@foegUZH,fög,,---,---,Medienmitteilungen der Fachöffentlichkeit,Assoziiertes Hochschulinstitut,ja,Keine MM verfügbar bzw. nur als PDF,
Freiburger Nachrichten AG,,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage gefunden,
Freie Presse Holding,FPH,---,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage gefunden,
Gassmann AG,,---,,,www.gassmann.ch/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Medienmitteilungen als News getarnt.,
Gebert Ruef Stiftung,Dr. Rudolf Marty,---,GRS,,http://www.grstiftung.ch,DE,Medienmitteilungen der Fachöffentlichkeit,Stiftungen,ja,"unklar, ob auf der Startseite alle Medienmitteilungen publiziert sind.",
Gesellschaft für Medienkritik Schweiz,Ulrich Kündig,---,gfmks,,---,DE,Medienmitteilungen der Fachöffentlichkeit,(Medien-)politische Organisationen/Instanzen,ja,Verein wurde 2012 aufgelöst,
Glattaler AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine Medienmitteilungen auf Homepage verfügbar,
Goldbach Group,,@GoldbachGroup,,,http://www.goldbachgroup.com/newsroom/medienmitteilungen,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,MM als Fliesstext und als PDF verfügbar,
Gottlieb und Hans Vogt-Stiftung,Dr. Niklaus Studer,---,GHVS,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Stiftungen,ja,nur als PDF verfügbar,
impressum,Die Schweizer JournalistInnen,---,,,http://www.impressum.ch/impressum-de/service/Presse/,DE,Medienmitteilungen der Fachöffentlichkeit,Berufsorganisationen,ja,,
Institut für Angewandte Medienwissenschaft,IAM,@IAM_Winterthur,IAM,ZHAW / Zürcher Hochschule für Angewandte Wissenschaften,https://www.zhaw.ch/de/linguistik/ueber-uns/news-und-medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,Hochschulinstitut,ja,,
Institut für Angewandte Psychologie,IAP,---,IAP,ZHAW / Zürcher Hochschule für Angewandte Wissenschaften,https://www.zhaw.ch/de/psychologie/ueber-uns/medien-news/medienmitteilungen/,DE,Medienmitteilungen der Fachöffentlichkeit,Hochschulinstitut,ja,,
Institut für Kommunikation und Marketing,IKM,---,IKM,Hochschule Luzern,https://www.hslu.ch/de-ch/hochschule-luzern/ueber-uns/medien/,DE,Medienmitteilungen der Fachöffentlichkeit,Hochschulinstitut,ja,,
