Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Username,Follower,Tweets,URL-Twitter
Infosperber,,CH,Infosperber ist die Online-Plattform für unabhängige Information.,Vincenzo,http://www.infosperber.ch/,DE,,@infosperber,Infosperber,2107,4853,https://twitter.com/infosperber
1815.ch,,CH,,Vincenzo,http://www.1815.ch/,,,@1815_online,1815.ch ,718,14 Tsd,https://twitter.com/1815_online
20 Minuten,20min.ch,CH,Kostenlose Pendlerzeitung,Vincenzo,http://www.20min.ch/,DE,Tamedia (20 Minuten AG),@20min,20 Minuten Friday,89.5 Tsd,37.4 Tsd,https://twitter.com/20min
20 Minuten Basel,20min.ch,CH,Kostenlose Pendlerzeitung,Vincenzo,http://www.20min.ch/schweiz/basel/,DE,Tamedia (20 Minuten AG),@20min,20 Minuten Friday,89.5 Tsd,37.4 Tsd,https://twitter.com/20min
20 Minuten Bern,20min.ch,CH,Kostenlose Pendlerzeitung,Vincenzo,http://www.20min.ch/schweiz/bern/,DE,Tamedia (20 Minuten AG),@20min,20 Minuten Friday,89.5 Tsd,37.4 Tsd,https://twitter.com/20min
20 Minuten Digital,,CH,,Vincenzo,http://www.20min.ch/digital/,,,@20min_digital,20 Minuten Digital,32.1 Tsd,5'270,https://twitter.com/20min_digital
20 Minuten Friday,20 Minuten Friday,CH,Wochenmagazin,Vincenzo,http://www.20min.ch/friday/,DE,Tamedia AG,@20min_friday,20 Minuten Friday,244,1,https://twitter.com/20min_Friday
20 Minuten Luzern,20min.ch,CH,Kostenlose Pendlerzeitung,Vincenzo,http://www.20min.ch/schweiz/zentralschweiz/,DE,Tamedia (20 Minuten AG),@20min,20 Minuten Friday,89.5 Tsd,37.4 Tsd,https://twitter.com/20min
20 Minuten People,,CH,,Vincenzo,http://www.20min.ch/people/,,,@20min_people,20 Minuten People,2'454,2'322,https://twitter.com/20min_people
20 Minuten Sport,,CH,,Vincenzo,http://www.20min.ch/sport/,,,@20min_sportnews,20 Minuten Sport,26.8 Tsd,5'627,https://twitter.com/20min_sportnews
20 Minuten St. Gallen,20min.ch,CH,Kostenlose Pendlerzeitung,Vincenzo,http://www.20min.ch/schweiz/ostschweiz/,DE,Tamedia (20 Minuten AG),@20min,20 Minuten Friday,89.5 Tsd,37.4 Tsd,https://twitter.com/20min
20 Minuten Zürich,20min.ch,CH,Kostenlose Pendlerzeitung,Vincenzo,http://www.20min.ch/schweiz/zuerich/,DE,Tamedia (20 Minuten AG),@20min,20 Minuten Friday,89.5 Tsd,37.4 Tsd,https://twitter.com/20min
3+,3plus,CH,TV-Station,Vincenzo,http://www.3plus.tv/,DE,3 Plus TV Network AG,@3_plus,3+ TV,186,843,https://twitter.com/3_plus
Aargauer Zeitung,Aargauer Zeitung,CH,Tageszeitung,Vincenzo,http://www.aargauerzeitung.ch/,DE,AZ Medien AG,@AargauerZeitung,AargauerZeitung,3'503,17.5 Tsd,https://twitter.com/AargauerZeitung
Aargauer Zeitung,Aargauer Zeitung Aarau,CH,Tageszeitung,Vincenzo,http://www.aargauerzeitung.ch/aargau/aarau,DE,AZ Medien AG,@AargauerZeitung,AargauerZeitung,3'503,17.5 Tsd,https://twitter.com/AargauerZeitung
Aargauer Zeitung,Aargauer Zeitung Baden,CH,Tageszeitung,Vincenzo,http://www.aargauerzeitung.ch/aargau/baden,DE,AZ Medien AG,@AargauerZeitung,AargauerZeitung,3'503,17.5 Tsd,https://twitter.com/AargauerZeitung
Aargauer Zeitung,Aargauer Zeitung Freiamt,CH,Tageszeitung,Vincenzo,http://www.aargauerzeitung.ch/aargau/freiamt,DE,AZ Medien AG,@AargauerZeitung,AargauerZeitung,3'503,17.5 Tsd,https://twitter.com/AargauerZeitung
Aargauer Zeitung,Aargauer Zeitung Fricktal,CH,Tageszeitung,Vincenzo,http://www.aargauerzeitung.ch/aargau/fricktal,DE,AZ Medien AG,@AargauerZeitung,AargauerZeitung,3'503,17.5 Tsd,https://twitter.com/AargauerZeitung
Annabelle,,CH,,Vincenzo,http://www.annabelle.ch/,,,@annabelle_mag,annabelle magazine,1'305,8'377,https://twitter.com/annabelle_mag
Anzeiger von Saanen,Anzeiger von Saanen,CH,2x wöchentlich,Vincenzo,http://www.anzeigervonsaanen.ch,DE,Müller Marketing & Druck AG,@anzeigersaanen,Anzeiger von Saanen,154,5'505,https://twitter.com/anzeigersaanen
Arolfinger Lokalfernsehen,ALF-TV,CH,TV-Station,Vincenzo,http://www.alf-tv.ch/,DE,ALF TV,@AlfTVch,Alf-TV,173,94,https://twitter.com/AlfTVch
azSolothurnerZeitung,,CH,,Vincenzo,http://www.solothurnerzeitung.ch/,,,@azSolothurn,azSolothurnerZeitung,504,5'093,https://twitter.com/azSolothurn
Barfi,Barfi,CH,Onlineportal,Vincenzo,http://barfi.ch/,DE,,@barfi_news,barfi.ch,443,1024,https://twitter.com/barfi_news?lang=de
Basler Zeitung,BaZ,CH,Tageszeitung,Vincenzo,www.baslerzeitung.ch,DE,National Zeitung und Basler Nachrichten AG,@bazonline,Basler Zeitung,9'560,36.5 Tsd,https://twitter.com/bazonline
Beobachter,Beobachter,CH,Zeitschrift,Vincenzo,http://www.beobachter.ch,DE,Axel Springer Schweiz AG,@BeobachterRat,Beobachter ,2'267,1'486,https://twitter.com/BeobachterRat
Beobachter Natur,Beobachter Natur,CH,Monatsmagazin,Vincenzo,http://www.beobachter.ch/natur/,DE,Axel Springer Schweiz AG,@BeobachterNatur,BeobachterNatur,429,278,https://twitter.com/BeobachterNatur
Berner Oberländer,BO,CH,Tageszeitung,Vincenzo,http://bo.bernerzeitung.ch/,DE,Tamedia AG,@BernerZeitung,bernerzeitung.ch,5'518,26.6 Tsd,https://twitter.com/BernerZeitung
Berner Zeitung,BZ,CH,Tageszeitung,Vincenzo,http://www.bernerzeitung.ch/,DE,Espace Media AG,@BernerZeitung,bernerzeitung.ch,5'518,26.6 Tsd,https://twitter.com/BernerZeitung
Bieler Tagblatt,Bieler Tagblatt,CH,Tageszeitung,Vincenzo,http://www.bielertagblatt.ch/,DE,W. Gassmann AG,@bielertagblatt,Bieler Tagblatt,914,6'548,https://twitter.com/bielertagblatt
Bilanz,Bilanz,CH,Zeitschrift (Magazin),Vincenzo,http://www.bilanz.ch,DE,Axel Springer Schweiz AG,@BILANZ,BILANZ,2'294,1'606,https://twitter.com/BILANZ
Blick,Blick,CH,Tageszeitung,Vincenzo,http://www.blick.ch,DE,Ringier AG,@Blickch,Blick,44.5 Tsd,14.5 Tsd,https://twitter.com/Blickch
Blick am Abend Basel,Blick am Abend-Regionalausgabe Basel,CH,Gratiszeitung,Vincenzo,http://www.blickamabend.ch,DE,Ringier AG,@blickamabend,Blick am Abend ,49.5 Tsd,14.7 Tsd,https://twitter.com/blickamabend
Blick am Abend Bern,Blick am Abend-Regionalausgabe Bern,CH,Gratiszeitung,Vincenzo,http://www.blickamabend.ch,DE,Ringier AG,@blickamabend_be,Blick am Abend Bern,1'500,1'237,https://twitter.com/blickamabend_be
Blick Sport,,CH,,Vincenzo,http://www.blick.ch/sport/,DE,Ringier AG,"@BLICK_Sport 
 ",BLICK Sport,5'637,16.4 Tsd,https://twitter.com/BLICK_Sport
BO Berner Oberländer,,CH,,Vincenzo,http://bo.bernerzeitung.ch/,,,@_BernerZeitung_,Bernerzeitung,823,946,https://twitter.com/_Bernerzeitung_
Bolero,,CH,,Vincenzo,http://www.boleromagazin.ch/,,,@BoleroMagazin,Bolero Magazin,458,340,https://twitter.com/BoleroMagazin
Bote der Urschweiz,suedostschweiz.ch - bote.ch,CH,Tageszeitung,Vincenzo,http://www.bote.ch/,DE,Bote der Urschweiz AG,@bote_online,Bote der Urschweiz,318,1'303,https://twitter.com/bote_online
"Bund, Der",Der Bund,CH,Tageszeitung,Vincenzo,http://www.derbund.ch/,DE,Espace Media AG,@_DerBund_,Der Bund,908,10,https://twitter.com/_DerBund_
Bündner Tagblatt,,CH,,Vincenzo,http://www.buendnertagblatt.ch/,,,@BundnerTagblatt,Bündner Tagblatt,505,202,https://twitter.com/BundnerTagblatt
BZ Basel,Nordwestschweiz Netz - bzbasel.ch,CH,Tageszeitung,Vincenzo,http://www.bzbasel.ch,DE,AZ Medien AG,@bzBasel,bzBasel,856,6'528,https://twitter.com/bzBasel
BZ Emmental,Berner Zeitung,CH,Tageszeitung,Vincenzo,http://www.bernerzeitung.ch/region/emmental/,DE,Tamedia AG,@BernerZeitung,bernerzeitung.ch,5'518,26.6 Tsd,https://twitter.com/BernerZeitung
BZ Langenthaler Tagblatt,Berner Zeitung,CH,Tageszeitung,Vincenzo,http://www.bernerzeitung.ch/services/aboservice/BZ-Langenthaler-Tagblatt/story/13060822,DE,Tamedia AG,@BernerZeitung,bernerzeitung.ch,5'518,26.6 Tsd,https://twitter.com/BernerZeitung
BZ Stadt & Region,Berner Zeitung,CH,Tageszeitung,Vincenzo,http://www.bernerzeitung.ch/,DE,Tamedia AG,@BernerZeitung,bernerzeitung.ch,5'518,26.6 Tsd,https://twitter.com/BernerZeitung
bzBaselland,,CH,,Vincenzo,http://www.basellandschaftlichezeitung.ch/,,,@bzBaselland,bzBaselland,376,6'449,https://twitter.com/bzBaselland
Canal 9,Canal 9,CH,Kommerzielles Privatradio,Vincenzo,http://www.canal9.ch/,"DE,FR",Canal9 / Kanal9,@canal9valais,Canal9,2'734,3'777,https://twitter.com/canal9valais
Cash,cash/borsalino.ch,CH,Onlineplattform,Vincenzo,http://www.cash.ch,DE,Ringier AG,@cashch,cash,1'846,10.9 Tsd,https://twitter.com/cashch
CHTV,CHTV,CH,Privat-TV-Station,Vincenzo,http://chtv.ch/,DE,,@chtvonline,CHTV,664,628,https://twitter.com/chtvonline?lang=de
Coopzeitung,Coopzeitung,CH,Wochenzeitung,Vincenzo,http://www.coopzeitung.ch/,DE,Coop Genossenschaft,@Coopzeitung,Coopzeitung,161,1'305,https://twitter.com/Coopzeitung
Das Magazin,Tagi Magi,CH,Wochenmagazin,Vincenzo,http://blog.dasmagazin.ch/,DE,Tamedia,@tagi_magi,Das Magazin,1'727,177,https://twitter.com/tagi_magi
Datenblog,,CH,Blog,Vincenzo,http://blog.tagesanzeiger.ch/datenblog/,DE,,@Datenblog112,Datenblog,2231,1328,https://twitter.com/Datenblog112
derbund.ch,,CH,,Vincenzo,http://www.derbund.ch/,,,@derbund,derbund.ch,2'469,20.1 Tsd,https://twitter.com/derbund
dieperspektive,,CH,,Vincenzo,http://www.dieperspektive.ch/,,,@dieperspektive,Die user generated content Zeitschrift aus Zürich. Es twittern @s_jacoby und @conradinz,646,451,https://twitter.com/dieperspektive
Einsiedler Anzeiger,,CH,,Vincenzo,http://www.einsiedleranzeiger.ch/,,,@EinsiedlerANZ,Einsiedler Anzeiger,104,1'161,https://twitter.com/EinsiedlerANZ
EnergieCH Basel-Bern,,CH,,Vincenzo,http://energiemax.blogspot.ch/,,,@energie_max,EnergieCH Basel-Bern,234,81,https://twitter.com/energie_max
Energy Basel,Energy Basel,CH,Kommerzielles Privatradio,Vincenzo,http://www.energy.ch/basel/,DE,Ringier AG,,energy_ch,5'269,3'647,https://twitter.com/energy_ch
Energy Bern,Energy Bern,CH,Kommerzielles Privatradio,Vincenzo,http://www.energy.ch/bern/,DE,Ringier AG,,energy_ch,5'269,3'647,https://twitter.com/energy_ch
Energy Zürich,Energy Zürich,CH,Kommerzielles Privatradio,Vincenzo,http://www.energy.ch/zurich/,DE,Ringier AG,,energy_ch,5'269,3'647,https://twitter.com/energy_ch
Engadiner Post,Posta Ladina,CH,3x wöchentlich,Vincenzo,http://www.engadinerpost.ch/,DE,Gammeter Druck AG,@engadinerpost,Engadiner Post,634,10.4 Tsd,https://twitter.com/engadinerpost
Entlebucher Anzeiger,Entlebucher Anzeiger,CH,2x wöchentlich,Vincenzo,http://www.entlebucher-anzeiger.ch/,DE,Verlag Entlebucher Anzeiger,@EntlebucherAnz,Entlebucher Anzeiger,132,2'873,https://twitter.com/EntlebucherAnz
Europäisches Journalismus-Observatorium | EJO ,,D,,Vincenzo,http://de.ejo-online.eu/,,,@ejo_de,Das Europäische Journalismus-Observatorium beobachtet Trends im Journalismus in Europa & den USA und will eine Brücke zwischen Wissenschaft und Praxis schlagen.,733,852,https://twitter.com/ejo_de
fehler.li ,,CH,,Vincenzo,,,,@fehlerli,Unter www.fehler.li sammeln Jungjournalisten des @IAM_Winterthur Fehler aus der tagesaktuellen Berichterstattung. Es twittern @konradweber und @MariusGrieder.,216,248,https://twitter.com/fehlerli
Finanz und Wirtschaft,Finanz und Wirtschaft,CH,Zeitschrift,Vincenzo,http://www.fuw.ch/,DE,Verlag Finanz und Wirtschaft AG (Tamedia),@FuW_News,Finanz u. Wirtschaft,3'046,11.2 Tsd,https://twitter.com/FuW_News
finanzen.ch,"finanzen.ch
 (ehemals stocks.ch)",CH,Finanzportal / Newsportal,Vincenzo,http://www.finanzen.ch,DE,Axel Springer Schweiz AG,@finanzenCH,finanzen.ch ,818,9'025,https://twitter.com/finanzenCH
finews.ch,finews.ch,CH,,Vincenzo,http://www.finews.ch/,DE,,@finews_ch,finews.ch,3609,17 Tsd,https://twitter.com/finews_ch?lang=de
FM1today,FM1today,CH,Onlineportal,Vincenzo,http://www.fm1today.ch/,DE,,@fm1today,FM1Today,221,220,https://twitter.com/fm1today?lang=de
"fög (Jahrbuch ""Qualität der Medien""), fög / UZH",,CH,Forschungsinstitut Öffentlichkeit und Gesellschaft ,Vincenzo,http://www.foeg.uzh.ch,DE,,@foegUZH,,1132,677,https://twitter.com/foegUZH
Goldbach Group,,CH,,Vincenzo,,,,@GoldbachGroup ,Goldbach Group,1'114,921,https://twitter.com/GoldbachGroup
