Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Nickname,Organisation,Position,Follower,Tweets,Link
"Abgottspon, Valentin ",,CH,,Vincenzo,,,,@valabg,,,ViceP @frei_denken,1300,11.5 Tsd,https://twitter.com/valabg
"Ackermann, Jürg",,CH,,Vincenzo,,,,@JuergAckermann,,St. Galler Tagblatt,Blattmacher,160,21,https://twitter.com/JuergAckermann
"Ackle, Martin",,CH,,Vincenzo,,,,@tinuackle,,Radio 32,Musik und Unterhaltung,110,65,https://twitter.com/tinuackle
"Aebischer, Matthias",,CH,,Vincenzo,,,,@M_Aebischer,,,Nationalrat SP/BE,8713,1252,https://twitter.com/M_Aebischer
"Aeschlimann, Peter",,CH,,Vincenzo,,,,@Nussbaum10,,Tamedia,Journalist,1'153,3'064,https://twitter.com/Nussbaum10
"Aggiato, Michele",,CH,,Vincenzo,,,,@MicheleAggiato,,,Loving new media relations. Social Media Manager #Vorwerk #Thermomix #Bimby. Tweets in EN/DE/IT,3527,6352,https://twitter.com/MicheleAggiato
"Albisser, Adrian",,CH,,Vincenzo,,,,@adrianalbisser,,,,626,310,https://twitter.com/adrianalbisser
"Alder, Robin",,CH,,Vincenzo,,,,@RobinAlder,,SRF3,Journalist,198,114,https://twitter.com/RobinAlder
"Aldrovandi, Mario",,CH,,Vincenzo,,,,@mariopoly,,,Journalist,485,1'726,https://twitter.com/mariopoly
"Altorfer, Sabine",,CH,,Vincenzo,,,,@saltorfer,,"Die Nordwestschweiz, Schweiz am Sonntag",Journalistin und Kulturchefin,148,107,https://twitter.com/saltorfer
"Altvater, Annett",,CH,,Vincenzo,,,,@aneet,,,Journalistin,144,302,https://twitter.com/aneet
"Amberg, Silvan ",,CH,,Vincenzo,,,,@silvan_amberg,,,Co-Präsident der Unabhängigkeitspartei up!,264,654,https://twitter.com/silvan_amberg
"Angeli, Thomas",,CH,,Vincenzo,,,,@beobangeli,,Beobachter,Redaktor,653,809,https://twitter.com/beobangeli
"Antonelli, Elisabetta",,CH,,Vincenzo,,,,@antonelli_e,,Landbote,Journalistin,290,362,https://twitter.com/antonelli_e
"Anz, Philipp",,CH,,Vincenzo,,,,@p_anz,,,Writer,626,3'582,https://twitter.com/p_anz
"Ardizzone, Sandra",,CH,,Vincenzo,,,,@s_ardizzone,,,Journalistin,126,414,https://twitter.com/s_ardizzone
"Arnold, Sabine",,CH,,Vincenzo,,,,@cashina77,,Landbote,Journalistin,488,670,https://twitter.com/cashina77
"Aschwanden, Erich",,CH,,Vincenzo,,,,@ErichAschi,,NZZ-Korrespondent Zentralschweiz/Aargau,,1'240,1'444,https://twitter.com/ErichAschi
"Auf der Maur, Jürg",,CH,,Vincenzo,,,,@JrgAuf,,Bote der Urschweiz,des. Chefredaktor Bote der Urschweiz,1'068,430,https://twitter.com/JrgAuf
"Bachmann, Marc",,CH,,Vincenzo,,,,@drBachme,,,,318,8'188,https://twitter.com/drBachme
"Bachmann, Robert",,CH,,Vincenzo,,,,@bach_mann,,,,100,23,https://twitter.com/bach_mann
"Badertscher, Claudia",,CH,,Vincenzo,,,,@bdrtschr,,Tagesschau,Journalistin,252,101,https://twitter.com/bdrtschr
"Badran, Jacqueline",,CH,,Vincenzo,,,,@JayBadran,,,"Politikerin (Nationalrätin), Unternehmerin, User Experience Architekt",9720,4331,https://twitter.com/JayBadran
"Baer, Yves",,CH,,Vincenzo,,,,@vzfb,,,"Kommunikationsberater, Autor bei der Musikzeitung Loop, angehender Schriftsteller und Präsident der NEBS Zürich.",180,403,https://twitter.com/vzfb
"Baigger, Katja",,CH,,Vincenzo,,,,@toblerette,,NZZ,NZZ-Schreiberin,579,2'386,https://twitter.com/toblerette
"Balderer, Thomas",,CH,,Vincenzo,,,,@thomasbalderer,,Tagesschau SRF,Journalist ,221,56,https://twitter.com/thomasbalderer
"Bally, Lucas",,CH,,Vincenzo,,,,@LucasBally,,SRF,,581,1'338,https://twitter.com/LucasBally
"Balmer, Dominik",,CH,,Vincenzo,,,,@DominikBalmer,,"Sonntagszeitung, MatinDimanche",Journalist RechercheDesk ,183,206,https://twitter.com/DominikBalmer
"Balsiger, Marc",,CH,,Vincenzo,,,,@Mark_Balsiger,,,"Journalist, geschäftsführender Inhaber der Border Crossing AG",4'598,5'550,https://twitter.com/Mark_Balsiger
"Barandun, Angela",,CH,,Vincenzo,,,,@abarandun,,TagesZeitung,Wirtschaftsjournalistin,1'057,944,https://twitter.com/abarandun
"Bärlocher, Matthias",,CH,,Vincenzo,,,,@Mbaerlocher,,Radio 24,Bundeshauskorrespondent,460,535,https://twitter.com/Mbaerlocher
"Bart, Katharina",,CH,,Vincenzo,,,,@KatharinaBart,,Reuters,Chief Zürich corro ??,2'151,9'242,https://twitter.com/KatharinaBart
"Bärtschi, Simon",,CH,,Vincenzo,,,,@SimonBaertschi,,SonntagsZeitung,"Journalist, Mitgl. Chefredaktion",2'941,2'167,https://twitter.com/SimonBaertschi
"Bassand, Françoise ",,CH,,Vincenzo,,,,@francoiseleste,,,"Européenne et bilingue - Bildung, Kommunikation, Politik, Kunst, Kultur & Fussball.",1362,12.1 Tsd,https://twitter.com/francoiseleste
"Bauer, David",,CH,,Vincenzo,,,,@davidbauer,,,,7'087,10'200,https://twitter.com/davidbauer
"Baumann, Alice",,CH,,Vincenzo,,,,@wunderalicebern,,consign - identity communication design AG.,Journalistin/Kommunikationsexpertin Social Media Coach/Strategist VRP/Partner Agentur für Unternehmenskommunikation consign - identity communication design AG.,458,1'395,https://twitter.com/wunderalicebern
